#Time,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5,TotalThroughput
0,0.117552,0.09672,0.090768,0.206832,0.181536,0.693408
1000000000,0.241056,0.162192,0.132432,0.261888,0.202368,0.999936
2000000000,0.247008,0.15624,0.14136,0.258912,0.196416,0.999936
3000000000,0.25296,0.160704,0.135408,0.261888,0.188976,0.999936
4000000000,0.241056,0.159216,0.138384,0.255936,0.205344,0.999936
5000000000,0.239568,0.159216,0.139872,0.26784,0.19344,0.999936
6000000000,0.016368,0.010416,0.010416,0.017856,0.94488,0.999936
7000000000,0.0,0.0,0.002976,0.001488,0.995472,0.999936
8000000000,0.001488,0.0,0.001488,0.0,0.99696,0.999936
9000000000,0.0,0.0,0.0,0.0,0.999936,0.999936
10000000000,0.0,0.0,0.001488,0.002976,0.995472,0.999936
11000000000,0.205344,0.130944,0.116064,0.220224,0.32736,0.999936
12000000000,0.239568,0.157728,0.142848,0.257424,0.202368,0.999936
13000000000,0.236592,0.160704,0.14136,0.258912,0.202368,0.999936
14000000000,0.239568,0.15624,0.142848,0.263376,0.197904,0.999936
15000000000,0.242544,0.157728,0.136896,0.255936,0.206832,0.999936
16000000000,0.031248,0.019344,0.017856,0.040176,0.891312,0.999936
17000000000,0.001488,0.001488,0.0,0.001488,0.995472,0.999936
18000000000,0.0,0.001488,0.001488,0.001488,0.995472,0.999936
19000000000,0.0,0.001488,0.0,0.0,0.998448,0.999936
20000000000,0.0,0.0,0.0,0.0,1.001424,1.001424
21000000000,0.19344,0.14136,0.11904,0.218736,0.32736,0.999936
22000000000,0.241056,0.159216,0.1488,0.251472,0.199392,0.999936
23000000000,0.227664,0.159216,0.135408,0.272304,0.205344,0.999936
24000000000,0.248496,0.153264,0.144336,0.261888,0.191952,0.999936
25000000000,0.235104,0.162192,0.142848,0.258912,0.20088,0.999936
26000000000,0.040176,0.026784,0.020832,0.040176,0.871968,0.999936
27000000000,0.0,0.001488,0.0,0.0,0.998448,0.999936
28000000000,0.001488,0.0,0.0,0.001488,0.99696,0.999936
29000000000,0.0,0.0,0.001488,0.0,0.998448,0.999936
30000000000,0.001488,0.0,0.001488,0.0,0.99696,0.999936
31000000000,0.20088,0.135408,0.116064,0.217248,0.330336,0.999936
32000000000,0.235104,0.160704,0.138384,0.269328,0.196416,0.999936
33000000000,0.235104,0.157728,0.135408,0.264864,0.206832,0.999936
34000000000,0.241056,0.159216,0.139872,0.264864,0.194928,0.999936
35000000000,0.242544,0.151776,0.138384,0.266352,0.20088,0.999936
36000000000,0.032736,0.02232,0.01488,0.035712,0.894288,0.999936
37000000000,0.001488,0.001488,0.0,0.0,0.99696,0.999936
38000000000,0.0,0.0,0.0,0.002976,0.99696,0.999936
39000000000,0.001488,0.0,0.001488,0.0,0.99696,0.999936
40000000000,0.002976,0.0,0.0,0.001488,0.995472,0.999936
41000000000,0.20832,0.13392,0.116064,0.21576,0.325872,0.999936
42000000000,0.244032,0.159216,0.13392,0.266352,0.196416,0.999936
43000000000,0.242544,0.159216,0.139872,0.264864,0.19344,0.999936
44000000000,0.239568,0.162192,0.14136,0.263376,0.194928,1.001424
45000000000,0.239568,0.159216,0.142848,0.2604,0.197904,0.999936
46000000000,0.236592,0.168144,0.138384,0.255936,0.20088,0.999936
47000000000,0.23808,0.162192,0.13392,0.261888,0.203856,0.999936
48000000000,0.24552,0.151776,0.135408,0.26784,0.199392,0.999936
49000000000,0.23808,0.157728,0.142848,0.266352,0.194928,0.999936
